iter	Passed	Remaining
460	779	910
461	780	908
462	781	906
463	784	906
464	785	903
465	789	904
466	791	903
467	792	901
468	794	899
469	795	897
470	797	895
471	798	893
472	800	892
473	806	895
474	808	893
475	809	891
476	811	889
477	812	887
478	817	889
479	822	890
480	823	888
481	824	886
482	826	884
483	827	882
484	829	880
485	830	878
486	832	876
487	834	875
488	836	874
489	839	873
490	840	871
491	854	881
492	855	879
493	856	877
494	858	875
495	860	874
496	861	871
497	862	869
498	863	866
499	864	864
500	868	864
501	869	862
502	870	859
503	871	857
504	871	854
505	872	852
506	873	849
507	874	847
508	875	844
509	876	841
510	877	839
511	878	836
512	879	834
513	881	833
514	883	831
515	883	829
516	884	826
517	885	824
518	886	821
519	887	819
520	888	816
521	889	814
522	890	811
523	890	809
524	891	806
525	892	804
526	893	802
527	894	799
528	897	798
529	898	796
530	899	794
531	899	791
532	900	789
533	901	786
534	902	784
535	903	782
536	904	780
537	905	777
538	906	775
539	907	773
540	908	770
541	909	768
542	911	767
543	912	765
544	913	762
545	914	760
546	915	758
547	917	756
548	918	754
549	918	751
550	919	749
551	920	747
552	921	745
553	922	742
554	923	740
555	924	738
556	927	737
557	928	735
558	929	732
559	929	730
560	930	728
561	931	725
562	932	723
563	933	721
564	934	719
565	934	716
566	935	714
567	936	712
568	937	710
569	938	707
570	939	705
571	941	704
572	943	702
573	944	700
574	945	698
575	945	696
576	946	694
577	948	692
578	949	690
579	950	688
580	951	685
581	952	683
582	953	681
583	954	679
584	956	678
585	958	676
586	959	674
587	960	672
588	961	670
589	962	668
590	963	666
591	964	664
592	965	662
593	966	660
594	967	658
595	968	656
596	974	657
597	975	655
598	977	654
599	978	652
600	979	650
601	980	648
602	981	646
603	982	644
604	983	642
605	985	640
606	987	639
607	990	638
608	991	636
609	992	634
610	993	632
611	995	630
612	995	628
613	997	626
614	998	625
615	999	622
616	1000	620
617	1001	618
618	1002	617
619	1003	615
620	1005	613
621	1005	611
622	1007	609
623	1008	607
624	1009	605
625	1010	603
626	1011	601
627	1012	599
628	1013	598
629	1017	597
630	1019	595
631	1020	594
632	1021	592
633	1023	590
634	1024	588
635	1025	587
636	1028	585
637	1029	584
638	1031	583
639	1033	581
640	1034	579
641	1036	577
642	1037	576
643	1039	574
644	1040	572
645	1042	571
646	1043	569
647	1049	569
648	1050	568
649	1052	566
650	1053	564
651	1055	563
652	1057	561
653	1058	560
654	1062	559
655	1064	558
656	1066	556
657	1067	554
658	1069	553
659	1070	551
660	1071	549
661	1073	547
662	1074	546
663	1078	545
664	1079	544
665	1081	542
666	1083	540
667	1084	538
668	1085	537
669	1087	535
670	1088	533
671	1092	533
672	1093	531
673	1095	529
674	1098	528
675	1099	527
676	1101	525
677	1102	523
678	1103	521
679	1110	522
680	1111	520
681	1112	518
682	1114	517
683	1115	515
684	1116	513
685	1118	511
686	1119	510
687	1122	509
688	1124	507
689	1126	505
690	1127	504
691	1128	502
692	1131	501
693	1133	499
694	1134	497
695	1138	497
696	1140	495
697	1141	493
698	1143	492
699	1144	490
700	1145	488
701	1147	486
702	1148	485
703	1150	483
704	1154	483
705	1155	481
706	1156	479
707	1158	477
708	1159	475
709	1161	474
710	1162	472
711	1163	470
712	1165	469
713	1169	468
714	1170	466
715	1172	464
716	1173	463
717	1175	461
718	1176	459
719	1177	458
720	1179	456
721	1180	454
722	1181	452
723	1184	451
724	1185	449
725	1186	447
726	1188	446
727	1189	444
728	1190	442
729	1191	440
730	1192	438
731	1194	437
732	1195	435
733	1196	433
734	1200	432
735	1202	431
736	1203	429
737	1205	427
738	1206	426
739	1208	424
740	1209	422
741	1211	421
742	1214	420
743	1216	418
744	1217	416
745	1218	414
746	1219	413
747	1220	411
748	1221	409
749	1222	407
750	1223	405
751	1224	403
752	1226	402
753	1227	400
754	1230	399
755	1232	397
756	1233	395
757	1234	394
758	1235	392
759	1236	390
760	1238	388
761	1239	387
762	1241	385
763	1242	383
764	1246	382
765	1247	381
766	1248	379
767	1249	377
768	1250	375
769	1251	373
770	1253	372
771	1254	370
772	1255	368
773	1256	366
774	1257	364
775	1258	363
776	1260	361
777	1261	360
778	1262	358
779	1263	356
780	1264	354
781	1265	352
782	1266	350
783	1267	349
784	1267	347
785	1268	345
786	1269	343
787	1270	341
788	1271	340
789	1272	338
790	1274	336
791	1276	335
792	1277	333
793	1278	331
794	1279	329
795	1280	328
796	1281	326
797	1282	324
798	1283	322
799	1284	321
800	1285	319
801	1286	317
802	1287	315
803	1290	314
804	1292	313
805	1293	311
806	1295	309
807	1296	308
808	1297	306
809	1299	304
810	1300	303
811	1301	301
812	1302	299
813	1307	298
814	1308	297
815	1310	295
816	1311	293
817	1312	292
818	1313	290
819	1314	288
820	1315	286
821	1316	285
822	1317	283
823	1318	281
824	1321	280
825	1323	278
826	1324	277
827	1325	275
828	1326	273
829	1327	271
830	1328	270
831	1329	268
832	1330	266
833	1331	264
834	1332	263
835	1332	261
836	1333	259
837	1335	258
838	1337	256
839	1338	254
840	1338	253
841	1339	251
842	1340	249
843	1341	248
844	1343	246
845	1344	244
846	1345	243
847	1346	241
848	1348	239
849	1349	238
850	1351	236
851	1352	234
852	1353	233
853	1354	231
854	1355	229
855	1357	228
856	1358	226
857	1359	224
858	1359	223
859	1360	221
860	1361	219
861	1362	218
862	1363	216
863	1364	214
864	1366	213
865	1368	211
866	1368	209
867	1369	208
868	1370	206
869	1371	204
870	1372	203
871	1373	201
872	1374	199
873	1375	198
874	1375	196
875	1376	194
876	1377	193
877	1378	191
878	1379	189
879	1382	188
880	1383	186
881	1384	185
882	1385	183
883	1386	181
884	1387	180
885	1387	178
886	1388	176
887	1389	175
888	1390	173
889	1391	171
890	1392	170
891	1393	168
892	1393	167
893	1394	165
894	1396	163
895	1398	162
896	1399	160
897	1400	159
898	1401	157
899	1402	155
900	1403	154
901	1404	152
902	1405	150
903	1406	149
904	1407	147
905	1408	146
906	1409	144
907	1409	142
908	1412	141
909	1413	139
910	1414	138
911	1415	136
912	1416	134
913	1417	133
914	1418	131
915	1419	130
916	1419	128
917	1420	126
918	1421	125
919	1422	123
920	1423	122
921	1424	120
922	1425	118
923	1428	117
924	1429	115
925	1430	114
926	1431	112
927	1432	111
928	1433	109
929	1434	107
930	1435	106
931	1436	104
932	1437	103
933	1438	101
934	1439	100
935	1441	98
936	1443	97
937	1444	95
938	1445	93
939	1446	92
940	1447	90
941	1448	89
942	1449	87
943	1450	86
944	1451	84
945	1452	82
946	1453	81
947	1454	79
948	1456	78
949	1458	76
950	1459	75
951	1460	73
952	1461	72
953	1462	70
954	1463	68
955	1464	67
956	1465	65
957	1466	64
958	1467	62
959	1468	61
960	1469	59
961	1470	58
962	1473	56
963	1474	55
964	1475	53
965	1476	51
966	1477	50
967	1478	48
968	1478	47
969	1479	45
970	1480	44
971	1481	42
972	1482	41
973	1483	39
974	1484	38
975	1485	36
976	1487	35
977	1489	33
978	1490	31
979	1491	30
980	1492	28
981	1493	27
982	1494	25
983	1495	24
984	1496	22
985	1497	21
986	1498	19
987	1499	18
988	1499	16
989	1500	15
990	1503	13
991	1504	12
992	1505	10
993	1506	9
994	1507	7
995	1508	6
996	1509	4
997	1509	3
998	1510	1
999	1511	0
